[Fri Jan 20 13:12:55 2023] ThreadID[40172]	[INFO]	Model Detected: Mountain_Group_2_Cube.001
[Fri Jan 20 13:12:55 2023] ThreadID[40172]	[INFO]	Location: X 2.443800 Y -0.000000 Z 0.889500
[Fri Jan 20 13:12:55 2023] ThreadID[40172]	[INFO]	Model Detected: Archery_FirstAge_Level1_Cube.295
[Fri Jan 20 13:12:55 2023] ThreadID[40172]	[INFO]	Location: X -0.282200 Y 0.000000 Z -1.207100
[Fri Jan 20 13:12:55 2023] ThreadID[40172]	[MESSAGE]	Game Level File Reading Complete.
[Fri Jan 20 13:12:55 2023] ThreadID[40172]	[MESSAGE]	Begin Importing .H2B File Data.
[Fri Jan 20 13:12:55 2023] ThreadID[40172]	[ERROR]	H2B Not Found: ./ModelsOBJ/Archery_FirstAge_Level1_Cube.h2b
[Fri Jan 20 13:12:55 2023] ThreadID[40172]	[WARNING]	Loading will continue but model(s) are missing.
[Fri Jan 20 13:12:55 2023] ThreadID[40172]	[ERROR]	H2B Not Found: ./ModelsOBJ/Mountain_Group_1_Cube.h2b
[Fri Jan 20 13:12:55 2023] ThreadID[40172]	[WARNING]	Loading will continue but model(s) are missing.
[Fri Jan 20 13:12:55 2023] ThreadID[40172]	[ERROR]	H2B Not Found: ./ModelsOBJ/Mountain_Group_2_Cube.h2b
[Fri Jan 20 13:13:24 2023] ThreadID[19300]	Start Program.
[Fri Jan 20 13:13:24 2023] ThreadID[19300]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Fri Jan 20 13:13:24 2023] ThreadID[19300]	[MESSAGE]	Begin Reading Game Level Text File.
[Fri Jan 20 13:13:24 2023] ThreadID[19300]	[INFO]	Model Detected: Mountain_Group_1_Cube.039
[Fri Jan 20 13:13:24 2023] ThreadID[19300]	[INFO]	Location: X -1.736400 Y -0.000000 Z 3.566200
[Fri Jan 20 13:13:24 2023] ThreadID[19300]	[INFO]	Model Detected: Mountain_Group_2_Cube.044
[Fri Jan 20 13:13:24 2023] ThreadID[19300]	[INFO]	Location: X 3.515900 Y 0.000000 Z 4.475500
[Fri Jan 20 13:13:24 2023] ThreadID[19300]	[INFO]	Model Detected: Plane
[Fri Jan 20 13:13:24 2023] ThreadID[19300]	[INFO]	Location: X 0.000000 Y 0.000000 Z 0.000000
[Fri Jan 20 13:13:24 2023] ThreadID[19300]	[INFO]	Model Detected: Mountain_Group_2_Cube.001
[Fri Jan 20 13:13:24 2023] ThreadID[19300]	[INFO]	Location: X 2.443800 Y -0.000000 Z 0.889500
[Fri Jan 20 13:13:24 2023] ThreadID[19300]	[INFO]	Model Detected: Archery_FirstAge_Level1_Cube.295
[Fri Jan 20 13:13:24 2023] ThreadID[19300]	[INFO]	Location: X -0.282200 Y 0.000000 Z -1.207100
[Fri Jan 20 13:13:24 2023] ThreadID[19300]	[MESSAGE]	Game Level File Reading Complete.
[Fri Jan 20 13:13:24 2023] ThreadID[19300]	[MESSAGE]	Begin Importing .H2B File Data.
[Fri Jan 20 13:13:24 2023] ThreadID[19300]	[ERROR]	H2B Not Found: ../ModelsOBJ/Archery_FirstAge_Level1_Cube.h2b
[Fri Jan 20 13:13:24 2023] ThreadID[19300]	[WARNING]	Loading will continue but model(s) are missing.
[Fri Jan 20 13:13:24 2023] ThreadID[19300]	[ERROR]	H2B Not Found: ../ModelsOBJ/Mountain_Group_1_Cube.h2b
[Fri Jan 20 13:13:24 2023] ThreadID[19300]	[WARNING]	Loading will continue but model(s) are missing.
[Fri Jan 20 13:13:24 2023] ThreadID[19300]	[ERROR]	H2B Not Found: ../ModelsOBJ/Mountain_Group_2_Cube.h2b
[Fri Jan 20 13:14:16 2023] ThreadID[19848]	Start Program.
[Fri Jan 20 13:14:16 2023] ThreadID[19848]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Fri Jan 20 13:14:16 2023] ThreadID[19848]	[MESSAGE]	Begin Reading Game Level Text File.
[Fri Jan 20 13:14:16 2023] ThreadID[19848]	[INFO]	Model Detected: Mountain_Group_1_Cube.039
[Fri Jan 20 13:14:16 2023] ThreadID[19848]	[INFO]	Location: X -1.736400 Y -0.000000 Z 3.566200
[Fri Jan 20 13:14:16 2023] ThreadID[19848]	[INFO]	Model Detected: Mountain_Group_2_Cube.044
[Fri Jan 20 13:14:16 2023] ThreadID[19848]	[INFO]	Location: X 3.515900 Y 0.000000 Z 4.475500
[Fri Jan 20 13:14:16 2023] ThreadID[19848]	[INFO]	Model Detected: Plane
[Fri Jan 20 13:14:16 2023] ThreadID[19848]	[INFO]	Location: X 0.000000 Y 0.000000 Z 0.000000
[Fri Jan 20 13:14:16 2023] ThreadID[19848]	[INFO]	Model Detected: Mountain_Group_2_Cube.001
[Fri Jan 20 13:14:16 2023] ThreadID[19848]	[INFO]	Location: X 2.443800 Y -0.000000 Z 0.889500
[Fri Jan 20 13:14:16 2023] ThreadID[19848]	[INFO]	Model Detected: Archery_FirstAge_Level1_Cube.295
[Fri Jan 20 13:14:16 2023] ThreadID[19848]	[INFO]	Location: X -0.282200 Y 0.000000 Z -1.207100
[Fri Jan 20 13:14:16 2023] ThreadID[19848]	[MESSAGE]	Game Level File Reading Complete.
[Fri Jan 20 13:14:16 2023] ThreadID[19848]	[MESSAGE]	Begin Importing .H2B File Data.
[Fri Jan 20 13:14:16 2023] ThreadID[19848]	[ERROR]	H2B Not Found: ../ModelsOBJ/Archery_FirstAge_Level1_Cube.h2b
[Fri Jan 20 13:14:16 2023] ThreadID[19848]	[WARNING]	Loading will continue but model(s) are missing.
[Fri Jan 20 13:14:16 2023] ThreadID[19848]	[ERROR]	H2B Not Found: ../ModelsOBJ/Mountain_Group_1_Cube.h2b
[Fri Jan 20 13:14:16 2023] ThreadID[19848]	[WARNING]	Loading will continue but model(s) are missing.
[Fri Jan 20 13:14:16 2023] ThreadID[19848]	[ERROR]	H2B Not Found: ../ModelsOBJ/Mountain_Group_2_Cube.h2b
[Fri Jan 20 13:18:01 2023] ThreadID[46476]	Start Program.
[Fri Jan 20 13:18:01 2023] ThreadID[46476]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Fri Jan 20 13:18:01 2023] ThreadID[46476]	[MESSAGE]	Begin Reading Game Level Text File.
[Fri Jan 20 13:18:01 2023] ThreadID[46476]	[INFO]	Model Detected: Mountain_Group_1_Cube.039
[Fri Jan 20 13:18:01 2023] ThreadID[46476]	[INFO]	Location: X -1.736400 Y -0.000000 Z 3.566200
[Fri Jan 20 13:18:01 2023] ThreadID[46476]	[INFO]	Model Detected: Mountain_Group_2_Cube.044
[Fri Jan 20 13:18:01 2023] ThreadID[46476]	[INFO]	Location: X 3.515900 Y 0.000000 Z 4.475500
[Fri Jan 20 13:18:01 2023] ThreadID[46476]	[INFO]	Model Detected: Plane
[Fri Jan 20 13:18:01 2023] ThreadID[46476]	[INFO]	Location: X 0.000000 Y 0.000000 Z 0.000000
[Fri Jan 20 13:18:01 2023] ThreadID[46476]	[INFO]	Model Detected: Mountain_Group_2_Cube.001
[Fri Jan 20 13:18:01 2023] ThreadID[46476]	[INFO]	Location: X 2.443800 Y -0.000000 Z 0.889500
[Fri Jan 20 13:18:01 2023] ThreadID[46476]	[INFO]	Model Detected: Archery_FirstAge_Level1_Cube.295
[Fri Jan 20 13:18:01 2023] ThreadID[46476]	[INFO]	Location: X -0.282200 Y 0.000000 Z -1.207100
[Fri Jan 20 13:18:01 2023] ThreadID[46476]	[MESSAGE]	Game Level File Reading Complete.
[Fri Jan 20 13:18:01 2023] ThreadID[46476]	[MESSAGE]	Begin Importing .H2B File Data.
[Fri Jan 20 13:18:01 2023] ThreadID[46476]	[ERROR]	H2B Not Found: ../ModelsOBJ/Archery_FirstAge_Level1_Cube.h2b
[Fri Jan 20 13:18:01 2023] ThreadID[46476]	[WARNING]	Loading will continue but model(s) are missing.
[Fri Jan 20 13:18:01 2023] ThreadID[46476]	[ERROR]	H2B Not Found: ../ModelsOBJ/Mountain_Group_1_Cube.h2b
[Fri Jan 20 13:18:01 2023] ThreadID[46476]	[WARNING]	Loading will continue but model(s) are missing.
[Fri Jan 20 13:18:01 2023] ThreadID[46476]	[ERROR]	H2B Not Found: ../ModelsOBJ/Mountain_Group_2_Cube.h2b
[Fri Jan 20 13:19:11 2023] ThreadID[46104]	Start Program.
[Fri Jan 20 13:19:11 2023] ThreadID[46104]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Fri Jan 20 13:19:11 2023] ThreadID[46104]	[MESSAGE]	Begin Reading Game Level Text File.
[Fri Jan 20 13:19:11 2023] ThreadID[46104]	[INFO]	Model Detected: Mountain_Group_1_Cube.039
[Fri Jan 20 13:19:11 2023] ThreadID[46104]	[INFO]	Location: X -1.736400 Y -0.000000 Z 3.566200
[Fri Jan 20 13:19:11 2023] ThreadID[46104]	[INFO]	Model Detected: Mountain_Group_2_Cube.044
[Fri Jan 20 13:19:11 2023] ThreadID[46104]	[INFO]	Location: X 3.515900 Y 0.000000 Z 4.475500
[Fri Jan 20 13:19:11 2023] ThreadID[46104]	[INFO]	Model Detected: Plane
[Fri Jan 20 13:19:11 2023] ThreadID[46104]	[INFO]	Location: X 0.000000 Y 0.000000 Z 0.000000
[Fri Jan 20 13:19:11 2023] ThreadID[46104]	[INFO]	Model Detected: Mountain_Group_2_Cube.001
[Fri Jan 20 13:19:11 2023] ThreadID[46104]	[INFO]	Location: X 2.443800 Y -0.000000 Z 0.889500
[Fri Jan 20 13:19:11 2023] ThreadID[46104]	[INFO]	Model Detected: Archery_FirstAge_Level1_Cube.295
[Fri Jan 20 13:19:11 2023] ThreadID[46104]	[INFO]	Location: X -0.282200 Y 0.000000 Z -1.207100
[Fri Jan 20 13:19:11 2023] ThreadID[46104]	[MESSAGE]	Game Level File Reading Complete.
[Fri Jan 20 13:19:11 2023] ThreadID[46104]	[MESSAGE]	Begin Importing .H2B File Data.
[Fri Jan 20 13:19:11 2023] ThreadID[46104]	[INFO]	H2B Imported: Archery_FirstAge_Level1_Cube.h2b
[Fri Jan 20 13:19:11 2023] ThreadID[46104]	[INFO]	H2B Imported: Mountain_Group_1_Cube.h2b
[Fri Jan 20 13:19:11 2023] ThreadID[46104]	[INFO]	H2B Imported: Mountain_Group_2_Cube.h2b
[Fri Jan 20 13:19:11 2023] ThreadID[46104]	[ERROR]	H2B Not Found: ../ModelsOBJ/Plane.h2b
[Fri Jan 20 13:19:11 2023] ThreadID[46104]	[WARNING]	Loading will continue but model(s) are missing.
[Fri Jan 20 13:24:06 2023] ThreadID[33860]	Start Program.
[Fri Jan 20 13:24:06 2023] ThreadID[33860]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Fri Jan 20 13:24:06 2023] ThreadID[33860]	[MESSAGE]	Begin Reading Game Level Text File.
[Fri Jan 20 13:24:06 2023] ThreadID[33860]	[INFO]	Model Detected: Mountain_Group_1_Cube.039
[Fri Jan 20 13:24:06 2023] ThreadID[33860]	[INFO]	Location: X -1.736400 Y -0.000000 Z 3.566200
[Fri Jan 20 13:24:06 2023] ThreadID[33860]	[INFO]	Model Detected: Mountain_Group_2_Cube.044
[Fri Jan 20 13:24:06 2023] ThreadID[33860]	[INFO]	Location: X 3.515900 Y 0.000000 Z 4.475500
[Fri Jan 20 13:24:06 2023] ThreadID[33860]	[INFO]	Model Detected: Mountain_Group_2_Cube.001
[Fri Jan 20 13:24:06 2023] ThreadID[33860]	[INFO]	Location: X 2.443800 Y -0.000000 Z 0.889500
[Fri Jan 20 13:24:06 2023] ThreadID[33860]	[INFO]	Model Detected: Archery_FirstAge_Level1_Cube.295
[Fri Jan 20 13:24:06 2023] ThreadID[33860]	[INFO]	Location: X -0.282200 Y 0.000000 Z -1.207100
[Fri Jan 20 13:24:06 2023] ThreadID[33860]	[MESSAGE]	Game Level File Reading Complete.
[Fri Jan 20 13:24:06 2023] ThreadID[33860]	[MESSAGE]	Begin Importing .H2B File Data.
[Fri Jan 20 13:24:06 2023] ThreadID[33860]	[INFO]	H2B Imported: Archery_FirstAge_Level1_Cube.h2b
[Fri Jan 20 13:24:06 2023] ThreadID[33860]	[INFO]	H2B Imported: Mountain_Group_1_Cube.h2b
[Fri Jan 20 13:24:06 2023] ThreadID[33860]	[INFO]	H2B Imported: Mountain_Group_2_Cube.h2b
[Fri Jan 20 13:24:06 2023] ThreadID[33860]	[MESSAGE]	Importing of .H2B File Data Complete.
[Fri Jan 20 13:24:06 2023] ThreadID[33860]	[EVENT]	GAME LEVEL WAS LOADED TO CPU [DATA ORIENTED]
[Fri Jan 20 13:24:27 2023] ThreadID[46636]	Start Program.
[Fri Jan 20 13:24:27 2023] ThreadID[46636]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Fri Jan 20 13:24:27 2023] ThreadID[46636]	[MESSAGE]	Begin Reading Game Level Text File.
[Fri Jan 20 13:24:27 2023] ThreadID[46636]	[INFO]	Model Detected: Mountain_Group_1_Cube.039
[Fri Jan 20 13:24:27 2023] ThreadID[46636]	[INFO]	Location: X -1.736400 Y -0.000000 Z 3.566200
[Fri Jan 20 13:24:27 2023] ThreadID[46636]	[INFO]	Model Detected: Mountain_Group_2_Cube.044
[Fri Jan 20 13:24:27 2023] ThreadID[46636]	[INFO]	Location: X 3.515900 Y 0.000000 Z 4.475500
[Fri Jan 20 13:24:27 2023] ThreadID[46636]	[INFO]	Model Detected: Mountain_Group_2_Cube.001
[Fri Jan 20 13:24:27 2023] ThreadID[46636]	[INFO]	Location: X 2.443800 Y -0.000000 Z 0.889500
